Unnamed: 0,name,mapped_data
40256,chhattisgarh durg india,",Durg,Chhattisgarh,India"
40257,odisha kendrapara india,",Kendrapara,Odisha,India"
40258,arunachal pradesh east siang india,",East Siang,Arunachal Pradesh,India"
40259,chhattisgarh korba india,",Korba,Chhattisgarh,India"
40260,rajasthan nagaur india,",Nagaur,Rajasthan,India"
40261,maharashtra jalna india,",Jalna,Maharashtra,India"
40262,rajasthan banswara india,",Banswara,Rajasthan,India"
40263,kashmir kathua india,",Kathua,Kashmir,India"
40264,maharashtra bid india,",Bid,Maharashtra,India"
40265,andhra pradesh   india,", ,Andhra Pradesh,India"
40266,odisha jagatsinghpur india,",Jagatsinghpur,Odisha,India"
40267,maharashtra kolhapur india,",Kolhapur,Maharashtra,India"
40268,chhattisgarh kabeerdham india,",Kabeerdham,Chhattisgarh,India"
40269,haryana palwal india,",Palwal,Haryana,India"
40270,tamil nadu   india,", ,Tamil Nadu,India"
40271,tamil nadu karur india,",Karur,Tamil Nadu,India"
40272,uttar pradesh kheri india,",Kheri,Uttar Pradesh,India"
40273,uttar pradesh lalitpur india,",Lalitpur,Uttar Pradesh,India"
40274,madhya pradesh tikamgarh india,",Tikamgarh,Madhya Pradesh,India"
40275,odisha baragarh india,",Baragarh,Odisha,India"
40276,kashmir kargil india,",Kargil,Kashmir,India"
40277,uttar pradesh   india,", ,Uttar Pradesh,India"
40278,west bengal jalpaiguri india,",Jalpaiguri,West Bengal,India"
40279,karnataka davanagere india,",Davanagere,Karnataka,India"
40280,assam golaghat india,",Golaghat,Assam,India"
40281,odisha nabarangpur india,",Nabarangpur,Odisha,India"
40282,assam lakhimpur india,",Lakhimpur,Assam,India"
40283,meghalaya west khasi hills india,",West Khasi Hills,Meghalaya,India"
40284,meghalaya ri-bhoi india,",Ri-Bhoi,Meghalaya,India"
40285,jharkhand pashchim singhbhum india,",Pashchim Singhbhum,Jharkhand,India"
40286,telangana nizamabad district india,",Nizamabad District,Telangana,India"
40287,haryana karnal india,",Karnal,Haryana,India"
40288,kerala kasaragod district india,",Kasaragod District,Kerala,India"
40289,nct new delhi india,",New Delhi,NCT,India"
