Unnamed: 0,name,mapped_data
15665,holt county missouri,",Holt County,Missouri,United States"
15666,monroe county missouri,",Monroe County,Missouri,United States"
15667,platte county missouri,",Platte County,Missouri,United States"
15668,perry county missouri,",Perry County,Missouri,United States"
15669,butler county missouri,",Butler County,Missouri,United States"
15670,washington county missouri,",Washington County,Missouri,United States"
15671,morgan county missouri,",Morgan County,Missouri,United States"
15672,phelps county missouri,",Phelps County,Missouri,United States"
15673,buchanan county missouri,",Buchanan County,Missouri,United States"
15674,city of saint louis missouri,",City of Saint Louis,Missouri,United States"
15675,sainte genevieve county missouri,",Sainte Genevieve County,Missouri,United States"
15676,dent county missouri,",Dent County,Missouri,United States"
15677,shelby county missouri,",Shelby County,Missouri,United States"
15678,carter county missouri,",Carter County,Missouri,United States"
15679,monroe county mississippi,",Monroe County,Mississippi,United States"
15680,choctaw county mississippi,",Choctaw County,Mississippi,United States"
15681,lamar county mississippi,",Lamar County,Mississippi,United States"
15682,benton county mississippi,",Benton County,Mississippi,United States"
15683,lee county mississippi,",Lee County,Mississippi,United States"
15684,panola county mississippi,",Panola County,Mississippi,United States"
15685,hancock county mississippi,",Hancock County,Mississippi,United States"
15686,jasper county mississippi,",Jasper County,Mississippi,United States"
15687,warren county mississippi,",Warren County,Mississippi,United States"
15688,wayne county mississippi,",Wayne County,Mississippi,United States"
15689,tishomingo county mississippi,",Tishomingo County,Mississippi,United States"
15690,humphreys county mississippi,",Humphreys County,Mississippi,United States"
15691,harrison county mississippi,",Harrison County,Mississippi,United States"
15692,prentiss county mississippi,",Prentiss County,Mississippi,United States"
15693,rankin county mississippi,",Rankin County,Mississippi,United States"
15694,lincoln county mississippi,",Lincoln County,Mississippi,United States"
15695,noxubee county mississippi,",Noxubee County,Mississippi,United States"
15696,calhoun county mississippi,",Calhoun County,Mississippi,United States"
15697,franklin county mississippi,",Franklin County,Mississippi,United States"
15698,marshall county mississippi,",Marshall County,Mississippi,United States"
15699,hinds county mississippi,",Hinds County,Mississippi,United States"
15700,lowndes county mississippi,",Lowndes County,Mississippi,United States"
15701,madison county mississippi,",Madison County,Mississippi,United States"
15702,pearl river county mississippi,",Pearl River County,Mississippi,United States"
15703,carroll county mississippi,",Carroll County,Mississippi,United States"
15704,leake county mississippi,",Leake County,Mississippi,United States"
15705,wilkinson county mississippi,",Wilkinson County,Mississippi,United States"
15706,tallahatchie county mississippi,",Tallahatchie County,Mississippi,United States"
15707,coahoma county mississippi,",Coahoma County,Mississippi,United States"
15708,bolivar county mississippi,",Bolivar County,Mississippi,United States"
