Unnamed: 0,name,mapped_data
3497,ohio united states,",,Ohio,United States"
3498,south carolina united states,",,South Carolina,United States"
3499,arkansas united states,",,Arkansas,United States"
3500,"washington, d.c. united states",",,Washington, D.C.,United States"
3501,georgia united states,",,Georgia,United States"
3502,illinois united states,",,Illinois,United States"
3503,missouri united states,",,Missouri,United States"
3504,mississippi united states,",,Mississippi,United States"
3505,north carolina united states,",,North Carolina,United States"
3506,new jersey united states,",,New Jersey,United States"
3507,oklahoma united states,",,Oklahoma,United States"
3508,pennsylvania united states,",,Pennsylvania,United States"
3509,tennessee united states,",,Tennessee,United States"
3510,west virginia united states,",,West Virginia,United States"
3511,connecticut united states,",,Connecticut,United States"
3512,massachusetts united states,",,Massachusetts,United States"
3513,maine united states,",,Maine,United States"
3514,michigan united states,",,Michigan,United States"
3515,new york united states,",,New York,United States"
3516,south dakota united states,",,South Dakota,United States"
3517,iowa united states,",,Iowa,United States"
3518,minnesota united states,",,Minnesota,United States"
3519,north dakota united states,",,North Dakota,United States"
3520,nebraska united states,",,Nebraska,United States"
3521,new hampshire united states,",,New Hampshire,United States"
3522,rhode island united states,",,Rhode Island,United States"
3523,vermont united states,",,Vermont,United States"
3524,wisconsin united states,",,Wisconsin,United States"
3525,arizona united states,",,Arizona,United States"
3526,california united states,",,California,United States"
3527,new mexico united states,",,New Mexico,United States"
3528,utah united states,",,Utah,United States"
3529,colorado united states,",,Colorado,United States"
