Unnamed: 0,name,mapped_data
3542,wantirna south,"Wantirna South,Knox,Victoria,Australia"
3543,wantirna,"Wantirna,Knox,Victoria,Australia"
3544,wangaratta,"Wangaratta,Wangaratta,Victoria,Australia"
3545,walkerston,"Walkerston,Mackay,Queensland,Australia"
3546,wagga wagga,"Wagga Wagga,Wagga Wagga,New South Wales,Australia"
3547,wacol,"Wacol,Brisbane,Queensland,Australia"
3548,victoria point,"Victoria Point,Redland,Queensland,Australia"
3549,vermont,"Vermont,Whitehorse,Victoria,Australia"
3550,urraween,"Urraween,Fraser Coast,Queensland,Australia"
3551,urangan,"Urangan,Fraser Coast,Queensland,Australia"
3552,upwey,"Upwey,Yarra Ranges,Victoria,Australia"
3553,upper coomera,"Upper Coomera,Gold Coast,Queensland,Australia"
3554,ulverstone,"Ulverstone,Central Coast,Tasmania,Australia"
3555,ulladulla,"Ulladulla,Shoalhaven Shire,New South Wales,Australia"
3556,tyabb,"Tyabb,Mornington Peninsula,Victoria,Australia"
3557,tumut,"Tumut,Tumut Shire,New South Wales,Australia"
3558,tumbi vmbi,"Tumbi Vmbi,Wyong Shire,New South Wales,Australia"
3559,tullamarine,"Tullamarine,Hume,Victoria,Australia"
3560,tugun,"Tugun,Gold Coast,Queensland,Australia"
3561,truganina,"Truganina,Wyndham,Victoria,Australia"
3562,trinity beach,"Trinity Beach,Cairns,Queensland,Australia"
3563,traralgon,"Traralgon,Latrobe,Victoria,Australia"
3564,townsville,"Townsville,Townsville,Queensland,Australia"
3565,toowoomba,"Toowoomba,Toowoomba,Queensland,Australia"
3566,tooradin,"Tooradin,Casey,Victoria,Australia"
3567,toolooa,"Toolooa,Gladstone,Queensland,Australia"
3568,tin can bay,"Tin Can Bay,Gympie Regional Council,Queensland,Australia"
3569,thomastown,"Thomastown,Whittlesea,Victoria,Australia"
3570,the entrance,"The Entrance,Wyong Shire,New South Wales,Australia"
3571,the basin,"The Basin,Knox,Victoria,Australia"
3572,thagoona,"Thagoona,Ipswich,Queensland,Australia"
3573,thabeban,"Thabeban,Bundaberg,Queensland,Australia"
3574,tewantin,"Tewantin,Sunshine Coast,Queensland,Australia"
3575,templestowe lower,"Templestowe Lower,Manningham,Victoria,Australia"
3576,tarragindi,"Tarragindi,Brisbane,Queensland,Australia"
3577,taroona,"Taroona,Kingborough,Tasmania,Australia"
3578,taroom,"Taroom,Banana,Queensland,Australia"
3579,tarneit,"Tarneit,Wyndham,Victoria,Australia"
3580,taree,"Taree,Greater Taree,New South Wales,Australia"
3581,tallebudgera,"Tallebudgera,Gold Coast,Queensland,Australia"
3582,sydney,"Sydney,City of Sydney,New South Wales,Australia"
3583,sydenham,"Sydenham,Brimbank,Victoria,Australia"
3584,swan hill,"Swan Hill,Swan Hill,Victoria,Australia"
3585,surfers paradise,"Surfers Paradise,Gold Coast,Queensland,Australia"
3586,sunnybank,"Sunnybank,Brisbane,Queensland,Australia"
3587,sunbury,"Sunbury,Hume,Victoria,Australia"
3588,strathpine,"Strathpine,Moreton Bay,Queensland,Australia"
3589,port stephens,"Port Stephens,Port Stephens Shire,New South Wales,Australia"
3590,stawell,"Stawell,Northern Grampians,Victoria,Australia"
3591,stanthorpe,"Stanthorpe,Southern Downs,Queensland,Australia"
3592,springvale south,"Springvale South,Greater Dandenong,Victoria,Australia"
3593,werribee south,"Werribee South,Wyndham,Victoria,Australia"
3594,south melbourne,"South Melbourne,Port Phillip,Victoria,Australia"
3595,south grafton,"South Grafton,Clarence Valley,New South Wales,Australia"
3596,sorell,"Sorell,Sorell,Tasmania,Australia"
3597,smithton,"Smithton,Circular Head,Tasmania,Australia"
3598,slacks creek,"Slacks Creek,Logan,Queensland,Australia"
3599,shorncliffe,"Shorncliffe,Brisbane,Queensland,Australia"
3600,shepparton,"Shepparton,Greater Shepparton,Victoria,Australia"
3601,shellharbour village,"Shellharbour Village,Shellharbour,New South Wales,Australia"
3602,sebastopol,"Sebastopol,Ballarat North,Victoria,Australia"
3603,scoresby,"Scoresby,Knox,Victoria,Australia"
3604,scarness,"Scarness,Fraser Coast,Queensland,Australia"
3605,sawtell,"Sawtell,Coffs Harbour,New South Wales,Australia"
3606,sarina,"Sarina,Mackay,Queensland,Australia"
3607,sandgate,"Sandgate,Brisbane,Queensland,Australia"
3608,saint kilda,"Saint Kilda,Port Phillip,Victoria,Australia"
3609,saint albans,"Saint Albans,Brimbank,Victoria,Australia"
