Unnamed: 0,name,mapped_data
12819,greeley county united states,",Greeley County,Nebraska,United States"
12820,thayer county united states,",Thayer County,Nebraska,United States"
12821,sherman county united states,",Sherman County,Nebraska,United States"
12822,thurston county united states,",Thurston County,Nebraska,United States"
12823,seward county united states,",Seward County,Nebraska,United States"
12824,kearney county united states,",Kearney County,Nebraska,United States"
12825,otoe county united states,",Otoe County,Nebraska,United States"
12826,antelope county united states,",Antelope County,Nebraska,United States"
12827,nuckolls county united states,",Nuckolls County,Nebraska,United States"
12828,burt county united states,",Burt County,Nebraska,United States"
12829,valley county united states,",Valley County,Nebraska,United States"
12830,dixon county united states,",Dixon County,Nebraska,United States"
12831,colfax county united states,",Colfax County,Nebraska,United States"
12832,stanton county united states,",Stanton County,Nebraska,United States"
12833,keya paha county united states,",Keya Paha County,Nebraska,United States"
12834,loup county united states,",Loup County,Nebraska,United States"
12835,cuming county united states,",Cuming County,Nebraska,United States"
12836,grafton county united states,",Grafton County,New Hampshire,United States"
12837,merrimack county united states,",Merrimack County,New Hampshire,United States"
12838,cheshire county united states,",Cheshire County,New Hampshire,United States"
12839,belknap county united states,",Belknap County,New Hampshire,United States"
12840,strafford county united states,",Strafford County,New Hampshire,United States"
12841,coos county united states,",Coos County,New Hampshire,United States"
12842,bergen county united states,",Bergen County,New Jersey,United States"
12843,monmouth county united states,",Monmouth County,New Jersey,United States"
12844,hunterdon county united states,",Hunterdon County,New Jersey,United States"
12845,hudson county united states,",Hudson County,New Jersey,United States"
12846,passaic county united states,",Passaic County,New Jersey,United States"
12847,rockland county united states,",Rockland County,New York,United States"
12848,erie county united states,",Erie County,New York,United States"
12849,orleans county united states,",Orleans County,New York,United States"
12850,cattaraugus county united states,",Cattaraugus County,New York,United States"
12851,tioga county united states,",Tioga County,New York,United States"
12852,westchester county united states,",Westchester County,New York,United States"
12853,dutchess county united states,",Dutchess County,New York,United States"
12854,cayuga county united states,",Cayuga County,New York,United States"
12855,rensselaer county united states,",Rensselaer County,New York,United States"
12856,chenango county united states,",Chenango County,New York,United States"
12857,saratoga county united states,",Saratoga County,New York,United States"
12858,kings county united states,",Kings County,New York,United States"
12859,chemung county united states,",Chemung County,New York,United States"
12860,broome county united states,",Broome County,New York,United States"
12861,oneida county united states,",Oneida County,New York,United States"
12862,seneca county united states,",Seneca County,New York,United States"
12863,bronx united states,",Bronx,New York,United States"
12864,ulster county united states,",Ulster County,New York,United States"
12865,ontario county united states,",Ontario County,New York,United States"
12866,st. lawrence county united states,",St. Lawrence County,New York,United States"
12867,tompkins county united states,",Tompkins County,New York,United States"
12868,oswego county united states,",Oswego County,New York,United States"
12869,schoharie county united states,",Schoharie County,New York,United States"
12870,cortland county united states,",Cortland County,New York,United States"
12871,herkimer county united states,",Herkimer County,New York,United States"
12872,yates county united states,",Yates County,New York,United States"
12873,schenectady county united states,",Schenectady County,New York,United States"
12874,niagara county united states,",Niagara County,New York,United States"
12875,new york county united states,",New York County,New York,United States"
12876,queens county united states,",Queens County,New York,United States"
12877,summit county united states,",Summit County,Ohio,United States"
12878,ashtabula county united states,",Ashtabula County,Ohio,United States"
12879,ashland county united states,",Ashland County,Ohio,United States"
12880,portage county united states,",Portage County,Ohio,United States"
12881,mahoning county united states,",Mahoning County,Ohio,United States"
