,name,mapped_data
250,Centre Burkina Faso,",,Centre,Burkina Faso"
251,Centre-Nord Burkina Faso,",,Centre-Nord,Burkina Faso"
252,High-Basins Burkina Faso,",,High-Basins,Burkina Faso"
253,Southwest Burkina Faso,",,Southwest,Burkina Faso"
254,Varna Bulgaria,",,Varna,Bulgaria"
255,Smolyan Bulgaria,",,Smolyan,Bulgaria"
256,Sofiya Bulgaria,",,Sofiya,Bulgaria"
257,Veliko Turnovo Bulgaria,",,Veliko Turnovo,Bulgaria"
258,Pernik Bulgaria,",,Pernik,Bulgaria"
259,Plovdiv Bulgaria,",,Plovdiv,Bulgaria"
260,Razgrad Bulgaria,",,Razgrad,Bulgaria"
261,Yambol Bulgaria,",,Yambol,Bulgaria"
262,Blagoevgrad Bulgaria,",,Blagoevgrad,Bulgaria"
263,Montana Bulgaria,",,Montana,Bulgaria"
264,Lovech Bulgaria,",,Lovech,Bulgaria"
265,Shumen Bulgaria,",,Shumen,Bulgaria"
266,Vratsa Bulgaria,",,Vratsa,Bulgaria"
267,Burgas Bulgaria,",,Burgas,Bulgaria"
268,Vidin Bulgaria,",,Vidin,Bulgaria"
269,Ruse Bulgaria,",,Ruse,Bulgaria"
270,Pazardzhik Bulgaria,",,Pazardzhik,Bulgaria"
271,Sliven Bulgaria,",,Sliven,Bulgaria"
272,Silistra Bulgaria,",,Silistra,Bulgaria"
273,Turgovishte Bulgaria,",,Turgovishte,Bulgaria"
274,Gabrovo Bulgaria,",,Gabrovo,Bulgaria"
275,Khaskovo Bulgaria,",,Khaskovo,Bulgaria"
276,Dobrich Bulgaria,",,Dobrich,Bulgaria"
277,Stara Zagora Bulgaria,",,Stara Zagora,Bulgaria"
278,Kyustendil Bulgaria,",,Kyustendil,Bulgaria"
279,Sofia-Capital Bulgaria,",,Sofia-Capital,Bulgaria"
280,Pleven Bulgaria,",,Pleven,Bulgaria"
281,Kurdzhali Bulgaria,",,Kurdzhali,Bulgaria"
282,Northern Bahrain,",,Northern,Bahrain"
283,Manama Bahrain,",,Manama,Bahrain"
284,Central Governorate Bahrain,",,Central Governorate,Bahrain"
285,Muharraq Bahrain,",,Muharraq,Bahrain"
286,Makamba Burundi,",,Makamba,Burundi"
287,Bururi Burundi,",,Bururi,Burundi"
288,Mwaro Burundi,",,Mwaro,Burundi"
289,Bujumbura Mairie Burundi,",,Bujumbura Mairie,Burundi"
290,Muramvya Burundi,",,Muramvya,Burundi"
291,Gitega Burundi,",,Gitega,Burundi"
292,Ruyigi Burundi,",,Ruyigi,Burundi"
293,Cankuzo Burundi,",,Cankuzo,Burundi"
294,Karuzi Burundi,",,Karuzi,Burundi"
295,Bubanza Burundi,",,Bubanza,Burundi"
296,Cibitoke Burundi,",,Cibitoke,Burundi"
297,Ngozi Burundi,",,Ngozi,Burundi"
298,Kayanza Burundi,",,Kayanza,Burundi"
299,Muyinga Burundi,",,Muyinga,Burundi"
300,Kirundo Burundi,",,Kirundo,Burundi"
301,Rutana Burundi,",,Rutana,Burundi"
302,Borgou Benin,",,Borgou,Benin"
303,Atakora Benin,",,Atakora,Benin"
304,Collines Benin,",,Collines,Benin"
305,Plateau Benin,",,Plateau,Benin"
306,Queme Benin,",,Queme,Benin"
307,Atlantique Benin,",,Atlantique,Benin"
308,Mono Benin,",,Mono,Benin"
309,Alibori Benin,",,Alibori,Benin"
310,Kouffo Benin,",,Kouffo,Benin"
311,Donga Benin,",,Donga,Benin"
312,Zou Benin,",,Zou,Benin"
313,Littoral Benin,",,Littoral,Benin"
314,Tutong Brunei Darussalam,",,Tutong,Brunei Darussalam"
315,Belait Brunei Darussalam,",,Belait,Brunei Darussalam"
316,Temburong Brunei Darussalam,",,Temburong,Brunei Darussalam"
317,Brunei and Muara Brunei Darussalam,",,Brunei and Muara,Brunei Darussalam"
318,Santa Cruz Bolivia,",,Santa Cruz,Bolivia"
319,Pando Bolivia,",,Pando,Bolivia"
320,Chuquisaca Bolivia,",,Chuquisaca,Bolivia"
321,Tarija Bolivia,",,Tarija,Bolivia"
322,La Paz Bolivia,",,La Paz,Bolivia"
323,Potosi Bolivia,",,Potosi,Bolivia"
324,El Beni Bolivia,",,El Beni,Bolivia"
325,Oruro Bolivia,",,Oruro,Bolivia"
326,Cochabamba Bolivia,",,Cochabamba,Bolivia"
327,Saba  ,",,Saba, "
328,Sint Eustatius  ,",,Sint Eustatius, "
329,Bonaire  ,",,Bonaire, "
330,Maranhao Brazil,",,Maranhao,Brazil"
331,Pernambuco Brazil,",,Pernambuco,Brazil"
332,Para Brazil,",,Para,Brazil"
333,Paraiba Brazil,",,Paraiba,Brazil"
334,Ceara Brazil,",,Ceara,Brazil"
335,Alagoas Brazil,",,Alagoas,Brazil"
336,Piaui Brazil,",,Piaui,Brazil"
337,Amazonas Brazil,",,Amazonas,Brazil"
338,Rio Grande do Norte Brazil,",,Rio Grande do Norte,Brazil"
339,Bahia Brazil,",,Bahia,Brazil"
340,Amapa Brazil,",,Amapa,Brazil"
341,Sergipe Brazil,",,Sergipe,Brazil"
342,Tocantins Brazil,",,Tocantins,Brazil"
343,Sao Paulo Brazil,",,Sao Paulo,Brazil"
344,Santa Catarina Brazil,",,Santa Catarina,Brazil"
345,Rio de Janeiro Brazil,",,Rio de Janeiro,Brazil"
