,name,mapped_data
227,Sylhet,",,Sylhet,Bangladesh"
228,Rajshahi,",,Rajshahi,Bangladesh"
229,Khulna,",,Khulna,Bangladesh"
230,Barisal,",,Barisal,Bangladesh"
231,Flanders,",,Flanders,Belgium"
232,Wallonia,",,Wallonia,Belgium"
233,Brussels Capital,",,Brussels Capital,Belgium"
234,Plateau-Central,",,Plateau-Central,Burkina Faso"
235,Nord,",,Nord,Burkina Faso"
236,Boucle du Mouhoun,",,Boucle du Mouhoun,Burkina Faso"
237,Centre-Est,",,Centre-Est,Burkina Faso"
238,Cascades,",,Cascades,Burkina Faso"
239,Sahel,",,Sahel,Burkina Faso"
240,Centre-Ouest,",,Centre-Ouest,Burkina Faso"
241,Centre-Sud,",,Centre-Sud,Burkina Faso"
242,Est,",,Est,Burkina Faso"
243,Centre,",,Centre,Burkina Faso"
244,Centre-Nord,",,Centre-Nord,Burkina Faso"
245,High-Basins,",,High-Basins,Burkina Faso"
246,Southwest,",,Southwest,Burkina Faso"
247,Varna,",,Varna,Bulgaria"
248,Smolyan,",,Smolyan,Bulgaria"
249,Sofiya,",,Sofiya,Bulgaria"
250,Veliko Turnovo,",,Veliko Turnovo,Bulgaria"
251,Pernik,",,Pernik,Bulgaria"
252,Plovdiv,",,Plovdiv,Bulgaria"
253,Razgrad,",,Razgrad,Bulgaria"
254,Yambol,",,Yambol,Bulgaria"
255,Blagoevgrad,",,Blagoevgrad,Bulgaria"
256,Montana,",,Montana,Bulgaria"
257,Lovech,",,Lovech,Bulgaria"
258,Shumen,",,Shumen,Bulgaria"
259,Vratsa,",,Vratsa,Bulgaria"
260,Burgas,",,Burgas,Bulgaria"
261,Vidin,",,Vidin,Bulgaria"
262,Ruse,",,Ruse,Bulgaria"
263,Pazardzhik,",,Pazardzhik,Bulgaria"
264,Sliven,",,Sliven,Bulgaria"
265,Silistra,",,Silistra,Bulgaria"
266,Turgovishte,",,Turgovishte,Bulgaria"
267,Gabrovo,",,Gabrovo,Bulgaria"
268,Khaskovo,",,Khaskovo,Bulgaria"
269,Dobrich,",,Dobrich,Bulgaria"
270,Stara Zagora,",,Stara Zagora,Bulgaria"
